valencià,tailandés,Add Reverse
(f) l'ovella,แกะ (สัตว์),y
(f.) l'abraçada,(นาม)กอด,y
(f.) l'absència,การไม่อยู่,y
(f.) l'actriu,นักแสดงผู้หญิง,y
(f.) l'adreça,ที่อยู่,y
(f.) l'advocada,ทนายความผู้หญิง,y
(f.) l'agricultora,เกษตรกรผู้หญิง,y
(f.) l'agulla,เข็ม,y
(f.) l'aixeta,ก๊อกน้ำ,y
(f.) l'alcaldesa,นายกเทศมนตรีผู้หญิง,y
(f.) l'alfàbrega,กะเพรา,y
(f.) l'ambulància,รถพยาบาล,y
(f.) l'amiga,เพื่อน (ผู้หญิง),y
(f.) l'ampolla,ขวดน้ำ,y
(f.) l'andana,ชานชาลา,y
(f.) l'aranya,แมงมุม,y
(f.) l'arrel,ราก,y
(f.) l'assecadora,เครื่องอบผ้า,y
(f.) l'autopista,ทางด่วน (เก็บค่าผ่านทาง),y
(f.) l'autovia,ทางหลวง,y
(f.) l'avellana,เฮเซลนัท,y
(f.) l'avinguda,ถนน (a),y
(f.) l'educació física,พลศึกษา,y
(f.) l'eina,เครื่องมือ (es: herramienta),y
(f.) l'eixida,ทางออก,y
(f.) l'encisam,ผักสลัด,y
(f.) l'enginyera,วิศวกร (ญ),y
(f.) l'enginyeria,วิศวกรรมศาสตร์,y
(f.) l'enveja,ความอิจฉา,y
(f.) l'escala,บันได,y
(f.) l'escola,โรงเรียน (e),y
(f.) l'escombra,ไม้กวาด (กาตาลุญญา),y
(f.) l'escriptora,นักเขียนผู้หญิง,y
(f.) l'esglèsia,โบสถ์,y
(f.) l'espatlla,หัวไหล่ (!m),y
(f.) l'espiera,ตาแมว,y
(f.) l'esponja,ฟองน้ำ,y
(f.) l'esposa,ภรรยา (e),y
(f.) l'esquena,หลัง (อวัยวะ),y
(f.) l'esquerra,ซ้ายมือ,y
(f.) l'esquina,หัวมุม (e),y
(f.) l'estació,สถานีรถไฟ,y
(f.) l'estona,ช่วงเวลาสั้น ๆ (es: rato),y
(f.) l'estovalla,ผ้าปูโต๊ะ,y
(f.) l'euga,ม้าตัวเมีย,y
(f.) l'hostessa,แอร์โฮสเตส,y
(f.) l'illa,เกาะ,y
(f.) l'obrera,คนงานผู้หญิง,y
(f.) l'oficina,สำนักงาน (o),y
(f.) l'oliva,มะกอก,y
(f.) l'olor,กลิ่น,y
(f.) l'ombra,เงา,y
(f.) l'orella,หู,y
(f.) l'oïda,การได้ยิน,y
(f.) l'àlgebra,พีชคณิต,y
(f.) l'ànima,จิตใจ (!m),y
(f.) l'àvia,ย่า ยาย (a),y
(f.) la història,ประวัติศาสตร์,y
(f.) la jugadora,นักเล่นกีฬาผู้หญิง (j),y
(m) l'arbre,ต้นไม้,y
(m.) el interès,ความสนใจ กำไร,y
(m.) el jugador,นักเล่นกีฬาผู้ชาย (j),y
(m.) l'abric,เสื้อโค้ต เสื้อคลุม,y
(m.) l'abril,เมษายน,y
(m.) l'accés,การเข้าถึง,y
(m.) l'actor,นักแสดงผู้ชาย,y
(m.) l'advocat,ทนายความผู้ชาย,y
(m.) l'agost,สิงหาคม,y
(m.) l'agricultor,เกษตรกรผู้ชาย,y
(m.) l'aire condicionat,เครื่องปรับอากาศ,y
(m.) l'ajuntament,ที่ว่าการเมือง,y
(m.) l'albercoc,แอพริคอต,y
(m.) l'alcalde,นายกเทศมนตรีผู้ชาย,y
(m.) l'alemany,ภาษาเยอรมัน / คนเยอรมัน (ช),y
(m.) l'all porro,กระเทียมต้น,y
(m.) l'amic,เพื่อน (ผู้ชาย),y
(m.) l'angle,มุม หัวมุม (a),y
(m.) l'anglés,ภาษาอังกฤษ / คนอังกฤษ (ช),y
(m.) l'anglés,ภาษาอังกฤษ / คนอังกฤษ (ช),y
(m.) l'aniversari,วันเกิด,y
(m.) l'any llum,ปีแสง,y
(m.) l'aparell,อุปกรณ์,y
(m.) l'apòsit,ผ้าปิดแผล (ใหญ่),y
