Afrikaans,Thaise,Add Reverse
Duits,ภาษาเยอรมัน,y
Engels,ภาษาอังกฤษ,y
Franse,ภาษาฝรั่งเศส,y
Italiaans,ภาษาอิตาลี,y
Spaans,ภาษาสเปน,y
aand,ตอนเย็น,y
aangename,ยินดี (!p),y
agt,แปด,y
almal,ทุกคน,y
appel,แอปเปิล,y
asseblief,ได้โปรด,y
beer,หมี,y
begin,เริ่ม,y
beurt,ตา (เล่นเกม) ผลัดกัน,y
beurtkrag,การผลัดกันใช้ไฟ (en: load shedding),y
blou,สีฟ้า,y
boom,ต้นไม้,y
boompie,ต้นไม้ต้นเล็ก,y
boot,เรือ,y
broer,พี่ชาย / น้องชาย,y
brood,ขนมปัง,y
daardie,~นั้น,y
dag,วัน,y
dertien,สิบสาม,y
dertig,สามสิบ,y
dinsdag,วันอังคาร,y
dit,มัน สิ่งนี้,y
doen,ทำ,y
donderdag,วันพฤหัสบดี,y
drie,สาม,y
een,หนึ่ง,y
eet,กิน,y
ek,ฉัน,y
elf,สิบเอ็ด,y
elke,ทุก ๆ แต่ละ,y
en,และ,y
fiets,จักรยาน,y
gaan,ไป,y
gedurende,ในขณะ ระหว่าง,y
geel,สีเหลือง,y
gister,เมื่อวาน,y
goed,ดี,y
graag,อยาก,y
groen,สีเขียว,y
haai,ฉลาม,y
hierdie,~นี้,y
hoe,อย่างไร,y
hoekom,ทำไม,y
hoeveel,มากเท่าไหร่,y
hond,สุนัข,y
honderd,หนึ่งร้อย,y
hondjie,ลูกหมา หมาตัวเล็ก,y
hospital,โรงพยาบาล,y
huis,บ้าน,y
hulle,พวกเขา พวกมัน,y
hy,เขา (ช),y
hê,มี,y
item,สิ่งของ,y
jaar,ปี,y
jammer,รู้สิกผิด ขอโทษ,y
jou,ของเธอ,y
julle,พวกเธอ,y
julle se,ของพวกเธอ,y
jy,เธอ,y
kaas,ชีส,y
kameel,อูฐ,y
kameelperd,ยีราฟ,y
kat,แมว,y
kennis,ความรู้ การรู้จัก,y
kleur,สี,y
koei,วัว,y
koerant,หนังสือพิมพ์,y
koffie,กาแฟ,y
komkommer,แตงกวา,y
kos,มีราคา,y
krag,แรง กำลัง พลัง ความแข็งแรง,y
laas,ล่าสุด (!v),y
lees,อ่าน,y
leeu,สิงโต,y
maandag,วันจันทร์,y
maar,แต่,y
man,ผู้ชาย,y
meisie,เด็กผู้หญิง,y
melk,นม,y
met,กับ ด้วย,y
motorfiets,จักรยานยนต์,y
my,ของฉัน,y
môre,ช่วงเช้า พรุ่งนี้,y
na,ไปยัง,y
naweek,เสาร์อาทิตย์,y
nee,ไม่,y
nege,เก้า,y
net,แค่ เพียง,y
netso,ตามอย่างนั้น,y
nommer,หมายเลข,y
nul,ศูนย์,y
of,หรือ,y
oggend,ตอนเช้า,y
olifant,ช้าง,y
ons,พวกเรา,y
oranje,สีส้ม,y
oud,แก่,y
ouer,พ่อแม่,y
pampoen,ฟักทอง,y
perd,ม้า,y
pienk,สีชมพู,y
piesang,กล้วย,y
praat,พูด,y
presies,ใช่เลย ความแม่นยำ,y
pynappel,สับปะรด,y
reis,เที่ยว,y
rooi,สีแดง,y
rys,ข้าว,y
saam,ด้วยกันกับ,y
sal,จะ,y
saterdag,วันเสาร์,y
ses,หก,y
sewe,เจ็ด,y
sien,ดู,y
sondag,วันอาทิตย์,y
spyskaart,เมนูอาหาร,y
studeer,เรียน,y
suster,พี่สาว / น้องสาว,y
swart,สีดำ,y
sy,เขา (ญ),y
tagtig,แปดสิบ,y
tien,สิบ,y
tier,เสือ,y
trein,รถไฟ,y
trekker,รถแทรกเตอร์,y
twaalf,สิบสอง,y
twee,สอง,y
twintig,ยี่สิบ,y
u,คุณ (สุภาพ),y
uitgang,ทางออก,y
vandag,วันนี้,y
veertien,สิบสี่,y
verlese,ล่าสุด (!l),y
vier,สี่,y
vliegtuig,เครื่องบิน,y
vriend,เพื่อน,y
vrou,ผู้หญิง,y
vrydag,วันศุกร์,y
vyf,ห้า,y
waar,ที่ไหน,y
wanneer,เมื่อไหร่,y
wat,อะไร,y
wees,เป็น อยู่ คือ,y
werk,ทำงาน,y
wie,ใคร,y
wit,สีขาว,y
woensdag,วันพุธ,y
wors,ไส้กรอก,y
wêreld,โลก,y
