Zulu,ไทย,Add Reverse
baba,พ่อ,y
bhuti,พี่ชาย / น้องชาย,y
dla,กิน,y
e~,~ที่,y
funda,เรียน ศึกษา,y
hamba,ไป เดินทาง,y
hlala,อาศัย อยู่,y
igama,ชื่อ,y
ikhofi,กาแฟ,y
isinkwa,ขนมปัง,y
itiye,ชา,y
jabulela,ยินดี,y
kahle,ดี,y
lakhe,ของเขา,y
lakho,ของเธอ,y
lami,ของฉัน,y
mama,แม่,y
mkhulu,ปู่ / ตา,y
ngi,ฉัน (ประธาน),y
njani,อย่างไร,y
nkosazana,คุณผู้หญิง,y
noma,หรือ,y
phila,มีชีวิต,y
phuza,ดื่ม,y
sala,อยู่ (en: stay),y
sisi,พี่สาว / น้องสาว,y
thanda,ชอบ,y
u,เธอ เขา,y
ujusi,น้ำผลไม้,y
ukukwazi,รู้จัก,y
umdokwe,ข้าวต้ม,y
ummbila,ข้าวโพด,y
ushokoledi,ช็อกโกแลต,y
ushukela,น้ำตาล,y
wubona,เห็น เจอ,y
yebo,ใช่ สวัสดี,y
