Thais,Nederlands,หมายเหตุ
เด็กผู้ชายกินขนมปัง,De jongen eet brood.,
ผู้ชายดื่มนม,De man drinkt melk.,
ผู้ชาย(พหู)กินข้าว,De mannen eten rijst.,
เด็กผู้ชายหรือเด็กผู้หญิง,Een jongen of een meisje?,- ไม่เจาะจง
เขาดื่มนม,Hij drinkt melk.,
เขากินแอปเปิลลูกหนึ่ง,Hij eet een appel.,
เขามีแอปเปิล(ลูกนั้น),Hij heeft de appel.,เจาะจง
เขาเป็นผู้ชายและฉันเป็นเด็กผู้ชาย,Hij is een man en ik ben een jongen.,
ฉันเป็นเด็กผู้ชายคนหนึ่ง,Ik ben een jongen.,
ฉันเป็นผู้ชาย,Ik ben een man.,
ฉันเป็นผู้หญิงคนหนึ่ง,Ik ben een vrouw.,
ฉันดื่มและเขากิน,Ik drink en hij eet.,
ฉันดื่ม,Ik drink.,
ฉันกิน,Ik eet.,
ฉันมีน้ำ,Ik heb water.,
เธอเป็นเด็ก,Je bent een kind.,
เธอดื่มนม,Je drinkt melk.,
เธอกินแอปเปิลลูกหนึ่งและเธอดื่มน้ำ,Je eet een appel en je drinkt water.,
เธอมีเมนูเล่มหนึ่ง,Je hebt een menu.,
พวกเธอดื่มน้ำ,Jullie drinken water.,
พวกเธอกินแซนด์วิช(+a),Jullie eten de boterham.,
พวกเธอมีลูกหนึ่งคน,Jullie hebben een kind.,
พวกเราดื่มน้ำผลไม้,We drinken sap.,
พวกเราดื่มน้ำและพวกเรากินข้าว,We drinken water en we eten rijst.,
พวกเราอ่านหนังสือพิมพ์,We lezen de krant.,
พวกเราเป็นผู้หญิง,We zijn vrouwen.,
เธอ(๓)เป็นผู้หญิง,Ze is een vrouw.,
พวกเขาเป็นเด็กผู้ชาย,Ze zijn jongens.,
